epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,342.977,0.49355,0.38056,0.91299,0.97275,0.91525,0.96511,0.75188,0.78352,0.42908,1.09348,0.0031525,0.0031525,0.0031525
85,346.763,0.53011,0.37554,0.91861,0.94556,0.9359,0.96417,0.75421,0.8077,0.42171,1.10201,0.00307,0.00307,0.00307
86,350.598,0.4706,0.35909,0.89456,0.98604,0.90557,0.96271,0.74907,0.80271,0.43715,1.11631,0.0029875,0.0029875,0.0029875
87,354.364,0.47735,0.36615,0.92301,0.98116,0.88462,0.96159,0.74551,0.78144,0.44259,1.11831,0.002905,0.002905,0.002905
88,358.173,0.49478,0.35759,0.92369,0.98603,0.90463,0.96368,0.74886,0.78665,0.43675,1.10759,0.0028225,0.0028225,0.0028225
89,361.9,0.47159,0.34653,0.89587,0.96804,0.91026,0.95575,0.76386,0.77161,0.43963,1.09084,0.00274,0.00274,0.00274
90,365.681,0.46737,0.3436,0.904,0.98148,0.91026,0.9627,0.75356,0.76682,0.43777,1.08808,0.0026575,0.0026575,0.0026575
91,369.44,0.47894,0.35372,0.92119,0.98604,0.90575,0.95888,0.75731,0.75793,0.43907,1.08464,0.002575,0.002575,0.002575
92,373.242,0.47057,0.36096,0.91675,0.9725,0.90687,0.96289,0.74765,0.76877,0.44209,1.08638,0.0024925,0.0024925,0.0024925
93,377.228,0.48229,0.35846,0.91582,0.97083,0.91026,0.95206,0.75993,0.76325,0.43358,1.0885,0.00241,0.00241,0.00241
94,381.252,0.44343,0.34137,0.88592,0.98304,0.91026,0.96095,0.75929,0.75027,0.42924,1.08553,0.0023275,0.0023275,0.0023275
95,385.305,0.46945,0.34646,0.90658,0.97985,0.91026,0.95485,0.75828,0.75372,0.43171,1.08459,0.002245,0.002245,0.002245
96,389.513,0.45437,0.33673,0.90008,0.98304,0.91026,0.94812,0.762,0.74948,0.43346,1.08051,0.0021625,0.0021625,0.0021625
97,393.604,0.45578,0.33801,0.90437,0.9841,0.91026,0.95783,0.77917,0.72616,0.43457,1.07249,0.00208,0.00208,0.00208
98,397.676,0.46758,0.34731,0.8843,0.98374,0.91026,0.95462,0.75908,0.74965,0.43112,1.08249,0.0019975,0.0019975,0.0019975
99,401.829,0.43143,0.33026,0.87952,0.98356,0.91026,0.95492,0.76693,0.75183,0.43289,1.08113,0.001915,0.001915,0.001915
100,405.875,0.45858,0.33564,0.90726,0.98607,0.90729,0.95774,0.77855,0.72742,0.43527,1.06521,0.0018325,0.0018325,0.0018325
101,409.995,0.42486,0.32505,0.88544,0.96975,0.91026,0.95927,0.77434,0.71798,0.42806,1.0614,0.00175,0.00175,0.00175
102,414.19,0.44841,0.33707,0.88825,0.97047,0.91026,0.95529,0.76398,0.73441,0.41596,1.06494,0.0016675,0.0016675,0.0016675
103,418.309,0.43892,0.33307,0.88731,0.97047,0.91026,0.95877,0.76056,0.74132,0.414,1.06467,0.001585,0.001585,0.001585
104,422.519,0.42953,0.32212,0.89209,0.95818,0.91026,0.95542,0.77231,0.76325,0.42813,1.07673,0.0015025,0.0015025,0.0015025
105,426.593,0.40941,0.31605,0.86935,0.95943,0.91026,0.95281,0.77282,0.74096,0.4142,1.06707,0.00142,0.00142,0.00142
106,430.892,0.42293,0.3086,0.89286,0.98589,0.89744,0.94923,0.75719,0.75944,0.42249,1.07316,0.0013375,0.0013375,0.0013375
107,435.046,0.42679,0.32179,0.88861,0.97251,0.90715,0.94935,0.76739,0.74049,0.41116,1.06654,0.001255,0.001255,0.001255
108,439.214,0.41757,0.3171,0.88676,0.96594,0.91026,0.94791,0.76867,0.73503,0.40303,1.07025,0.0011725,0.0011725,0.0011725
